Name	Gender				
අචින්ත්‍යා	Female				
අදිශානි	Female				
අදිති	Female				
අග්රානි	Female				
අහංසා	Female				
අහර්ෂා	Female				
අහසිකා	Female				
ආකර්ෂා	Female				
අකීෂා	Female				
අකෙන්යා	Female				
අකේෂියා	Female				
අකේත්‍යා	Female				
අකිත්මා	Female				
අක්ෂාදි	Female				
ආලියා	Female				
අමල්මි	Female				
අමන්දි	Female				
අමාෂා	Female				
අමායා	Female				
අමීෂා	Female				
අමිල්කා	Female				
අමින්දි	Female				
අනගි	Female				
අනන්යා	Female				
අනෝෂි	Female				
අනුදිමා	Female				
අනුහංසි	Female				
අනුකි	Female				
අනුෂිමා	Female				
අනුත්මි	Female				
අප්සරා	Female				
ආරද්‍යා	Female				
අරලියා	Female				
අරෙලි	Female				
ආකර්ෂි	Female				
අරෝෂිකා	Female				
අරුන්දි	Female				
අශානි	Female				
අශායා	Female				
අශෙන්යා	Female				
අශිංසා	Female				
අශ්විකා	Female				
අශ්විනි	Female				
අසිනි	Female				
අතිස්ටා	Female				
අයංසා	Female				
අයේෂ්මා	Female				
අයිෂා	Female				
අයෝද්‍යා	Female				
අයෝනි	Female				
ආයුකා	Female				
බෙහන්සා	Female				
බිහක්ෂි	Female				
බිහේෂා	Female				
බිලංකා	Female				
බිලේෂා	Female				
බිමල්කා	Female				
බිමල්ෂා	Female				
බිමන්ලි	Female				
බිම්ෂි	Female				
බිම්සාරි	Female				
බිනදි	Female				
බිනක්ෂි	Female				
බිනාලි	Female				
බිනරි	Female				
බිනුදි	Female				
බිනුකි	Female				
බිනූෂා	Female				
බිනුති	Female				
බිවින්දි	Female				
බුවනි	Female				
බුවනිජා	Female				
චාලුක්‍යා	Female				
චමල්කා	Female				
චමල්ෂා	Female				
චමල්ෂි	Female				
චමාෂා	Female				
චමති	Female				
චමත්කා	Female				
චමිල්කා	Female				
චමිල්කි	Female				
චමෝදි	Female				
චමොත්මා	Female				
චමුදිතා	Female				
චමුදි	Female				
චන්දුලා	Female				
චැනේලි	Female				
චැනල්කා	Female				
චනේති	Female				
චනුදි	Female				
චානුත්මි	Female				
චාන්යා	Female				
චාරුකා	Female				
චාරුක්‍යා	Female				
චාරුන්ද්යා	Female				
චාසින්දි	Female				
චතුකි	Female				
චතුමිකා	Female				
චතුනිකා	Female				
චතුරංගි	Female				
චතූෂි	Female				
චාවින්දි	Female				
චෙනෙති	Female				
චෙනෙත්මා	Female				
චෙනෙත්මි	Female				
චෙනුලි	Female				
චෙනුමි	Female				
චෙනුෂි	Female				
චෙනුති	Female				
චේතනා	Female				
චේතිකා	Female				
චිතිකා	Female				
චිතුකි	Female				
චිතුලි	Female				
දහම්‍යා	Female				
දාලියා	Female				
දනරා	Female				
දානා	Female				
ධනේෂා	Female				
දාසිනි	Female				
දෙහරා	Female				
දෙහසා	Female				
දැහැමි	Female				
ඩෙමිනි	Female				
දීනීශා	Female				
දෙනේති	Female				
දෙනෙත්මි	Female				
දෙනෙත්නි	Female				
දෙනෙත්	Female				
දෙනිශා	Female				
දෙනුදි	Female				
දෙනුෂ්ක	Female				
දෙනුත්තරා	Female				
දේසඳුලි	Female				
දේශා	Female				
දේශ්මි	Female				
දෙශ්නි	Female				
දෙවන්සා	Female				
දෙවන්ෂා	Female				
දෙවර්ෂි	Female				
දෙවින්දි	Female				
දෙවෝෂි	Female				
දෙව්රි	Female				
දෙව්සරා	Female				
දෙව්දු	Female				
දෙව්ජානි	Female				
දෙව්නි	Female				
දෙව්නිති	Female				
දෙව්තිලිනී	Female				
දම්ශා	Female				
දිදුලි	Female				
දිහංස	Female				
දිහාරා	Female				
දිහසා	Female				
දික්නිතා	Female				
දිලංක	Female				
ඩිලාන්ෂා	Female				
ඩිලාෂි	Female				
දිලෙන්යා	Female				
දිල්මනී	Female				
දිල්මි	Female				
දිල්නි	Female				
දිලෝෂණ	Female				
දිල්සර	Female				
දිල්ෂාර	Female				
දිල්ෂාරි	Female				
දිල්ෂිකා	Female				
දිලුමි	Female				
දිමාලි	Female				
ඩිමල්මි	Female				
දිමත්මි	Female				
දිම්සර	Female				
දිනදී	Female				
ඩිනාලි	Female				
දිනේලි	Female				
දිනෙත්මා	Female				
දිනෙත්මි	Female				
දිනේත්‍රා	Female				
දිනෙත්‍යා	Female				
දිනිදි	Female				
දිනිලි	Female				
දිනිසර	Female				
දිනිති	Female				
දින්ලිනි	Female				
දිනසරා	Female				
දිනුදි	Female				
දිනුදිකා	Female				
දිනුගි	Female				
දිනුජන	Female				
