,Review Number,Review,Opinion,review_clean,Review_Length,Clean_Feedback,Feedbacks_without_stopwords,Feedback_without_stopwords_Length
0,berlin-hotel-190599-review-1.json_0,This hotel was very modern and sleek.,0.0,this hotel was very modern and sleek,36,this hotel was very modern and sleek,hotel modern sleek,3
1,berlin-hotel-190599-review-1.json_1,"Beautiful, well-laid out, albeiit small rooms.",0.0,beautiful well-laid out albeiit small rooms,43,beautiful welllaid out albeiit small rooms,beautiful welllaid albeiit small rooms,5
2,berlin-hotel-190599-review-1.json_2,"Fantastic breakfast with an incredible selection of meats, cheeses, yogurts, breads etc. And, as a non-German speaker,",0.0,fantastic breakfast with an incredible selection of meats cheeses yogurts breads etc and as non-german speaker,110,fantastic breakfast with an incredible selection of meats cheeses yogurts breads etc and as nongerman speaker,fantastic breakfast incredible selection meats cheeses yogurts breads etc nongerman speaker,11
3,berlin-hotel-190599-review-1.json_3,the staff were uber-helpful.,0.0,the staff were uber-helpful,27,the staff were uberhelpful,staff uberhelpful,2
4,berlin-hotel-190599-review-1.json_4,Great location in front of a u-bahn stop.,0.0,great location in front of u-bahn stop,38,great location in front of ubahn stop,great location front ubahn stop,5
5,berlin-hotel-190599-review-2.json_0,"Our first trip to Berlin, so we were unfamiliar with the city layout.",0.0,our first trip to berlin so we were unfamiliar with the city layout,67,our first trip to berlin so we were unfamiliar with the city layout,first trip berlin unfamiliar city layout,6
6,berlin-hotel-190599-review-2.json_1,But we were drawn to the design of the Art'otel.,0.0,but we were drawn to the design of the art'otel,47,but we were drawn to the design of the artotel,drawn design artotel,3
7,berlin-hotel-190599-review-2.json_2,"Yes, the public spaces are nicely designed,",0.0,yes the public spaces are nicely designed,41,yes the public spaces are nicely designed,yes public spaces nicely designed,5
8,berlin-hotel-190599-review-2.json_3,as are the rooms.,0.0,as are the rooms,16,as are the rooms,rooms,1
9,berlin-hotel-190599-review-2.json_4,But the rooms are small and not very functional.,0.0,but the rooms are small and not very functional,47,but the rooms are small and not very functional,rooms small functional,3
10,berlin-hotel-190599-review-2.json_5,And the location is definitely out of the way (although there is an U-bahn station just a half block away).,0.0,and the location is definitely out of the way although there is an u-bahn station just half block away,102,and the location is definitely out of the way although there is an ubahn station just half block away,location definitely way although ubahn station half block away,9
11,berlin-hotel-190599-review-2.json_6,And we were really put off by the tourist buses and groups.,0.0,and we were really put off by the tourist buses and groups,58,and we were really put off by the tourist buses and groups,really put tourist buses groups,5
12,berlin-hotel-190599-review-2.json_7,Not really our scene.,0.0,not really our scene,20,not really our scene,really scene,2
13,berlin-hotel-190599-review-2.json_8,"If you do end up here, be sure to specify a room at the back of the hotel.",1.0,if you do end up here be sure to specify room at the back of the hotel,70,if you do end up here be sure to specify room at the back of the hotel,end sure specify room back hotel,6
14,berlin-hotel-190599-review-2.json_9,The ones on the front are very noisy.,0.0,the ones on the front are very noisy,36,the ones on the front are very noisy,ones front noisy,3
15,berlin-hotel-190599-review-3.json_0,"Directly across the street from an informal bus terminus the hotel is also very convenient for the U-Bahn into town and some points in the East on foot, but quite a walk away from the heart of things.",0.0,directly across the street from an informal bus terminus the hotel is also very convenient for the u-bahn into town and some points in the east on foot but quite walk away from the heart of things,196,directly across the street from an informal bus terminus the hotel is also very convenient for the ubahn into town and some points in the east on foot but quite walk away from the heart of things,directly across street informal bus terminus hotel also convenient ubahn town points east foot quite walk away heart things,19
16,berlin-hotel-190599-review-3.json_1,"The staff was friendly and tried to be accomodating, but couldn't give me a non-smoking room for the first night, nor an internal room,",0.0,the staff was friendly and tried to be accomodating but couldn't give me non-smoking room for the first night nor an internal room,130,the staff was friendly and tried to be accomodating but couldnt give me nonsmoking room for the first night nor an internal room,staff friendly tried accomodating couldnt give nonsmoking room first night internal room,12
17,berlin-hotel-190599-review-3.json_2,and I was woken by the early morning firing up of the local bus service (a courtyard-facing room is essential unless you have industrial strength earplugs.)The rooms are small and ill-conceived.,1.0,and was woken by the early morning firing up of the local bus service courtyard-facing room is essential unless you have industrial strength earplugs.)the rooms are small and ill-conceived,188,and was woken by the early morning firing up of the local bus service courtyardfacing room is essential unless you have industrial strength earplugsthe rooms are small and illconceived,woken early morning firing local bus service courtyardfacing room essential unless industrial strength earplugsthe rooms small illconceived,17
