[run number],density,influence-weight,num-agents,network-type,social-influence,broadcast-influence,influential-fraction,[reporter],[final],[min],[max],[mean],[steps]
1,0.1,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,29,0,29,14.5,29
2,0.1,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,32,0,32,16,32
3,0.1,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,64,0,64,32,64
4,0.1,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,45,0,45,22.5,45
5,0.1,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,38,0,38,19,38
6,0.1,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,49,0,49,24.5,49
7,0.1,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,23,0,23,11.5,23
8,0.1,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,27,0,27,13.5,27
9,0.1,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,25,0,25,12.5,25
10,0.1,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,25,0,25,12.5,25
11,0.2,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,24,0,24,12,24
12,0.2,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,32,0,32,16,32
13,0.2,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,32,0,32,16,32
14,0.2,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,44,0,44,22,44
15,0.2,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,44,0,44,22,44
16,0.2,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,24,0,24,12,24
17,0.2,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,27,0,27,13.5,27
18,0.2,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,20,0,20,10,20
19,0.2,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,27,0,27,13.5,27
20,0.2,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,33,0,33,16.5,33
21,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,29,0,29,14.5,29
22,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,40,0,40,20,40
23,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,30,0,30,15,30
24,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,52,0,52,26,52
25,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,32,0,32,16,32
26,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,38,0,38,19,38
27,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,38,0,38,19,38
28,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,55,0,55,27.5,55
29,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,24,0,24,12,24
30,0.3,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,21,0,21,10.5,21
31,0.4,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,32,0,32,16,32
32,0.4,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,26,0,26,13,26
33,0.4,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,29,0,29,14.5,29
34,0.4,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,24,0,24,12,24
35,0.4,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,30,0,30,15,30
36,0.4,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,31,0,31,15.5,31
37,0.4,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,47,0,47,23.5,47
38,0.4,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,21,0,21,10.5,21
39,0.4,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,27,0,27,13.5,27
40,0.4,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,22,0,22,11,22
41,0.5,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,42,0,42,21,42
42,0.5,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,30,0,30,15,30
43,0.5,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,49,0,49,24.5,49
44,0.5,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,35,0,35,17.5,35
45,0.5,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,44,0,44,22,44
46,0.5,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,35,0,35,17.5,35
47,0.5,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,32,0,32,16,32
48,0.5,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,26,0,26,13,26
49,0.5,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,32,0,32,16,32
50,0.5,0.75,100,preferential-attachment,0.7,0.05,0.1,ticks,33,0,33,16.5,33
